role,edge_idx,Q_down_kw,mdot_design_kg_per_s,chosen_DN,inner_diameter_mm,v_calc_m_per_s,v_limit_ms,v_abs_max_ms,dp_per_m_est_pa,dp_per_m_max_pa,status,building_id,Q_building_kw
trunk,20.0,262.83373699616925,1.571972111221108,100,100.0,0.20633990260077692,1.2,2.5,5.805550374995931,200.0,ok,,
trunk,26.0,262.83373699616925,1.571972111221108,100,100.0,0.20633990260077692,1.2,2.5,5.805550374995931,200.0,ok,,
trunk,11.0,262.83373699616925,1.571972111221108,100,100.0,0.20633990260077692,1.2,2.5,5.805550374995931,200.0,ok,,
trunk,12.0,254.68822209851973,1.5232549168571754,100,100.0,0.1999451955520441,1.2,2.5,5.484886187299561,200.0,ok,,
trunk,13.0,246.52989978750912,1.4744611231310354,100,100.0,0.19354043393248,1.2,2.5,5.172231802322996,200.0,ok,,
trunk,14.0,239.51997554120905,1.4325357388828293,100,100.0,0.1880372321641261,1.2,2.5,4.910411802186407,200.0,ok,,
trunk,15.0,232.2667104410484,1.389154966752682,100,100.0,0.1823429935499768,1.2,2.5,4.646160243896032,200.0,ok,,
trunk,16.0,225.78189014255278,1.3503701563549808,100,100.0,0.17725202918570784,1.2,2.5,4.415652406372925,200.0,ok,,
trunk,17.0,219.03665243904845,1.3100278255923952,100,100.0,0.17195662188120167,1.2,2.5,4.181660761951564,200.0,ok,,
trunk,9.0,1.1825511670067714,0.007072674443820403,100,100.0,0.0009283720400938051,1.2,2.5,0.0029707905283001762,200.0,ok,,
trunk,107.0,217.85410127204167,1.3029551511485746,100,100.0,0.17102824984110787,1.2,2.5,4.141245841889979,200.0,ok,,
trunk,108.0,140.88154697192581,0.842592984281853,100,100.0,0.11060027914474935,1.2,2.5,1.906090555446588,200.0,ok,,
trunk,109.0,107.19804983227446,0.6411366616762827,100,100.0,0.08415675785832291,1.2,2.5,1.1790594766223363,200.0,ok,,
service,,,0.04243604666292242,50,50.0,0.022280928962251326,1.2,2.5,0.2851958907168169,200.0,ok,DEBBAL520000w9Em,7.095307002040629
